!Family	Genus	Species	CAAB	Min length	Max length
Blenniidae	Plagiotremus	tapeinosoma	37408076		140
Ephippidae	Platax	batavianus	37362002		650
Ephippidae	Platax	orbicularis	37362007		600
Ephippidae	Platax	pinnatus	37362006		450
Ephippidae	Platax	teira	37362004		700
Belonidae	Platybelone	argalus	37235008		
Platycephalidae	Platycephalus	endrachtensis	37296021		450
Haemulidae	Plectorhinchus	chaetodonoides	37350014		720
Haemulidae	Plectorhinchus	chrysotaenia	37350017		410
Haemulidae	Plectorhinchus	flavomaculatus	37350007		600
Haemulidae	Plectorhinchus	gibbosus	37350012		750
Haemulidae	Plectorhinchus	multivittatus	37350018		500
Haemulidae	Plectorhinchus	picus	37350023		840
Haemulidae	Plectorhinchus	polytaenia	37350005		500
Haemulidae	Plectorhinchus	schotaf	37350013		800
Haemulidae	Plectorhinchus	vittatus	37350015		720
Pomacentridae	Plectroglyphidodon	dickii	37372098		110
Pomacentridae	Plectroglyphidodon	imparipennis	37372099		
Pomacentridae	Plectroglyphidodon	johnstonianus	37372100		140
Pomacentridae	Plectroglyphidodon	lacrymatus	37372101		100
Pomacentridae	Plectroglyphidodon	leucozonus	37372102		120
Serranidae	Plectropomus	areolatus	37311081		800
Serranidae	Plectropomus	laevis	37311079		1250
Serranidae	Plectropomus	leopardus	37311078		1200
Serranidae	Plectropomus	maculatus	37311012		1250
Serranidae	Plectropomus	oligacanthus	37311162		
Plotosidae	Plotosus	lineatus	37192002		320
Polynemidae	Polydactylus	multiradiatus	37383002		
Polynemidae	Polydactylus	plebeius	37383009		450
Phosichthyidae	Polymetme	corythaeola	37106001		
Polymixiidae	Polymixia	busakhini	37253002		
Pomacanthidae	Pomacanthus	imperator	37365014		400
Pomacanthidae	Pomacanthus	semicirculatus	37365080		400
Pomacanthidae	Pomacanthus	sexstriatus	37365010		460
Pomacentridae	Pomacentrus	bankanensis	37372108		90
Pomacentridae	Pomacentrus	brachialis	37372109		80
Pomacentridae	Pomacentrus	chrysurus	37372110		90
Pomacentridae	Pomacentrus	coelestis	37372111		90
Pomacentridae	Pomacentrus	lepidogenys	37372114		90
Pomacentridae	Pomacentrus	limosus	37372116		90
Pomacentridae	Pomacentrus	milleri	37372117		100
Pomacentridae	Pomacentrus	moluccensis	37372118		90
Pomacentridae	Pomacentrus	nagasakiensis	37372119		110
Pomacentridae	Pomacentrus	nigromanus	37372120		90
Pomacentridae	Pomacentrus	nigromarginatus	37372121		80
Pomacentridae	Pomacentrus	pavo	37372122		85
Pomacentridae	Pomacentrus	philippinus	37372123		100
Pomacentridae	Pomacentrus	reidi	37372124		
Pomacentridae	Pomacentrus	vaiuli	37372126		100
Pomacentridae	Pomachromis	richardsoni	37372128		60
Haemulidae	Pomadasys	argenteus	37350009		
Haemulidae	Pomadasys	kaakan	37350011		800
Haemulidae	Pomadasys	maculatus	37350002		
Pomatomidae	Pomatomus	saltatrix	37334002		1300
Priacanthidae	Priacanthus	blochii	37326012		350
Priacanthidae	Priacanthus	hamrur	37326005		450
Apogonidae	Pristiapogon	fraenatus	37327057		
Lutjanidae	Pristipomoides	filamentosus	37346032		1000
Lutjanidae	Pristipomoides	multidens	37346002		900
Lutjanidae	Pristipomoides	typus	37346019		700
Lutjanidae	Pristipomoides	sieboldii	37346064		790
Pristidae	Pristis	clavata	37025004		
Pristidae	Pristis	zijsron	37025001		7300
Pomacentridae	Pristotis	obtusirostris	37372001		140
Sciaenidae	Protonibea	diacanthus	37354003		1500
Latidae	Psammoperca	datnioides	37310001		470
Serranidae	Pseudanthias	bicolor	37311112		130
Serranidae	Pseudanthias	cooperi	37311113		140
Serranidae	Pseudanthias	fasciatus	37311116		210
Serranidae	Pseudanthias	georgei	37311093		
Serranidae	Pseudanthias	lori	37311119		
Serranidae	Pseudanthias	pleurotaenia	37311123		200
Serranidae	Pseudanthias	rubrizonatus	37311124		120
Serranidae	Pseudanthias	tuka	37311127		120
Balistidae	Pseudobalistes	flavimarginatus	37465071		600
Balistidae	Pseudobalistes	fuscus	37465027		550
Callionymidae	Pseudocalliurichthys	goodladi	37427006		
Carangidae	Pseudocaranx	dinjerra	37337081		230
Carangidae	Pseudocaranx	wrighti	37337063		700
Labridae	Pseudocheilinus	evanidus	37384142		90
Labridae	Pseudocheilinus	hexataenia	37384143		100
Labridae	Pseudocheilinus	octotaenia	37384144		
Pseudochromidae	Pseudochromis	andamanensis	37313034		70
Pseudochromidae	Pseudochromis	fuscus	37313006		100
Pseudochromidae	Pseudochromis	howsoni	37313030		100
Pseudochromidae	Pseudochromis	marshallensis	37313008		80
Pseudochromidae	Pseudochromis	quinquedentatus	37313001		95
Pseudochromidae	Pseudochromis	wilsoni	37313018		80
Labridae	Pseudocoris	yamashiroi	37384145		160
Labridae	Pseudodax	moluccanus	37384146		300
Labridae	Pseudojuloides	elongatus	37384148		
Labridae	Pseudojuloides	severnsi	37384209		91.5
Monacanthidae	Pseudomonacanthus	elongatus	37465029		
Monacanthidae	Pseudomonacanthus	peroni	37465020		350
Paralichthyidae	Pseudorhombus	arsius	37460009		450
Labridae	Pteragogus	cryptus	37384033		95
Labridae	Pteragogus	enneacanthus	37384153		150
Labridae	Pteragogus	flagellifer	37384204		200
Microdesmidae	Ptereleotris	evides	37435015		140
Microdesmidae	Ptereleotris	grammica	37435016		100
Microdesmidae	Ptereleotris	hanae	37435017		
Microdesmidae	Ptereleotris	heteroptera	37435018		140
Microdesmidae	Ptereleotris	microlepis	37435019		130
Microdesmidae	Ptereleotris	monoptera	37435020		120
Caesionidae	Pterocaesio	chrysozona	37346009		210
Caesionidae	Pterocaesio	digramma	37346050		300
Caesionidae	Pterocaesio	marri	37346068		350
Caesionidae	Pterocaesio	pisang	37346062		
Caesionidae	Pterocaesio	tile	37346063		300
Pteroidae	Pterois	russelii	37287012		
Pteroidae	Pterois	volitans	37287040		380
Pomacanthidae	Pygoplites	diacanthus	37365082		250
Rachycentridae	Rachycentron	canadum	37335001		2000
Scombridae	Rastrelliger	kanagurta	37441012		
Echeneidae	Remora	remora	37336002		864
Apogonidae	Rhabdamia	gracilis	37327022		60
Sparidae	Rhabdosargus	sarba	37353013		800
Rhinobatidae	Rhina	ancylostoma	37026002		3000
Balistidae	Rhinecanthus	aculeatus	37465028		300
Balistidae	Rhinecanthus	rectangulus	37465073		300
Rhinobatidae	Rhinobatos	sainsburyi	37027003		595
Myliobatidae	Rhinoptera	javanica	37040002		1500
Carcharhinidae	Rhizoprionodon	acutus	37018006		1750
Carcharhinidae	Rhizoprionodon	taylori	37018024		691
Rhinidae	Rhynchobatus	australiae	37026005		3000
Rhinidae	Rhynchobatus	palpebratus	37026004		1025
Ostraciidae	Rhynchostracion	nasus	37466005		300
Ostraciidae	Rhynchostracion	rhinorhynchos	37466009		350
Blenniidae	Salarias	fasciatus	37408079		140
Blenniidae	Salarias	guttatus	37408078		100
Scombridae	Sarda	orientalis	37441006		1020
Clupeidae	Sardinella	gibbosa	37085013		
Holocentridae	Sargocentron	caudimaculatum	37261022		300
Holocentridae	Sargocentron	melanospilos	37261026		
Holocentridae	Sargocentron	microstoma	37261027		
Holocentridae	Sargocentron	punctatissimum	37261028		
Holocentridae	Sargocentron	rubrum	37261001		320
Holocentridae	Sargocentron	spiniferum	37261029		510
Holocentridae	Sargocentron	tiere	37261030		
Peristediidae	Satyrichthys	rieffeli	37288019		
Synodontidae	Saurida	nebulosa	37118027		165
Synodontidae	Saurida	undosquamis	37118001		500
Synodontidae	Saurida	longimanus	37118014		250
Nemipteridae	Scaevius	milii	37347020		200
Scaridae	Scarus	chameleon	37386012		310
Scaridae	Scarus	dimidiatus	37386013		400
Scaridae	Scarus	flavipectoralis	37386014		400
Scaridae	Scarus	forsteni	37386015		550
Scaridae	Scarus	frenatus	37386016		470
Scaridae	Scarus	ghobban	37386001		900
Scaridae	Scarus	globiceps	37386018		450
Scaridae	Scarus	niger	37386021		400
Scaridae	Scarus	oviceps	37386022		350
Scaridae	Scarus	prasiognathos	37386023		700
Scaridae	Scarus	psittacus	37386024		340
Scaridae	Scarus	rivulatus	37386027		400
Scaridae	Scarus	rubroviolaceus	37386028		700
Scaridae	Scarus	schlegeli	37386029		400
Scaridae	Scarus	spinus	37386031		300
Scaridae	Scarus	tricolor	37386036		266
Scaridae	Scarus	xanthopleura	37386032		
Monacanthidae	Scobinichthys	granulatus	37465007		300
Ophichthidae	Scolecenchelys	breviceps	37068004		600
Nemipteridae	Scolopsis	affinis	37347030		240
Nemipteridae	Scolopsis	bilineata	37347031		250
Nemipteridae	Scolopsis	lineata	37347032		250
Nemipteridae	Scolopsis	monogramma	37347006		380
Nemipteridae	Scolopsis	taenioptera	37347008		300
Nemipteridae	Scolopsis	trilineata	37347034		250
Nemipteridae	Scolopsis	vosmeri	37347018		
Nemipteridae	Scolopsis	xenochrous	37347035		265
Scombridae	Scomber	australasicus	37441001		440
Carangidae	Scomberoides	commersonnianus	37337032		1200
Carangidae	Scomberoides	lysan	37337046		1100
Carangidae	Scomberoides	tala	37337045		
Carangidae	Scomberoides	tol	37337044		600
Scombridae	Scomberomorus	commerson	37441007		2400
Scombridae	Scomberomorus	munroi	37441015		1040
Scombridae	Scomberomorus	queenslandicus	37441014		1000
Scombridae	Scomberomorus	semifasciatus	37441018		
Scorpaenidae	Scorpaenopsis	venosa	37287086		
Scorpididae	Scorpis	georgiana	37361015		330
Carangidae	Selar	boops	37337008		250
Carangidae	Selar	crumenophthalmus	37337009		700
Carangidae	Selaroides	leptolepis	37337015		220
Carangidae	Seriola	dumerili	37337025		1900
Carangidae	Seriola	hippos	37337007		1500
Carangidae	Seriola	lalandi	37337006		2500
Carangidae	Seriola	rivoliana	37337052		1600
Carangidae	Seriolina	nigrofasciata	37337014		700
Siganidae	Siganus	argenteus	37438007		400
Siganidae	Siganus	canaliculatus	37438004		400
Siganidae	Siganus	doliatus	37438009		300
Siganidae	Siganus	fuscescens	37438001		400
Siganidae	Siganus	lineatus	37438010		430
Siganidae	Siganus	punctatissimus	37438012		350
Siganidae	Siganus	punctatus	37438003		400
Siganidae	Siganus	stellatus	37438018		400
Siganidae	Siganus	trispilos	37438014		250
Siganidae	Siganus	virgatus	37438016		300
Sillaginidae	Sillaginodes	punctatus	37330001		720
Sillaginidae	Sillago	analis	37330003		450
Sillaginidae	Sillago	maculata	37330015		
Sillaginidae	Sillago	sihama	37330006		310
Apogonidae	Siphamia	cephalotes	37327032		
Apogonidae	Sphaeramia	orbicularis	37327184		
Sphyraenidae	Sphyraena	barracuda	37382008		2000
Sphyraenidae	Sphyraena	forsteri	37382005		750
Sphyraenidae	Sphyraena	jello	37382004		1500
Sphyraenidae	Sphyraena	novaehollandiae	37382002		1000
Sphyraenidae	Sphyraena	obtusata	37382007		550
Sphyraenidae	Sphyraena	putnamae	37382006		
Sphyraenidae	Sphyraena	qenie	37382009		1700
Sphyrnidae	Sphyrna	lewini	37019001		4300
Sphyrnidae	Sphyrna	mokarran	37019002		6100
Sphyrnidae	Sphyrna	zygaena	37019004		5000
Clupeidae	Spratelloides	gracilis	37085030		105
Clupeidae	Spratelloides	robustus	37085003		120
Squalidae	Squalus	montalbani	37020047		840
Pomacentridae	Stegastes	albifasciatus	37372130		130
Pomacentridae	Stegastes	apicalis	37372131		150
Pomacentridae	Stegastes	fasciolatus	37372132		165
Pomacentridae	Stegastes	nigricans	37372135		140
Pomacentridae	Stegastes	obreptus	37372136		180
Stegostomatidae	Stegostoma	fasciatum	37013006		3540
Labridae	Stethojulis	bandanensis	37384154		150
Labridae	Stethojulis	interrupta	37384155		130
Labridae	Stethojulis	strigiventer	37384156		150
Engraulidae	Stolephorus	commersonnii	37086013		
Gobiidae	Stonogobiops	xanthorhinica	37428253		
Belonidae	Strongylura	leiura	37235003		
Labridae	Suezichthys	cyanolaemus	37384161		97
Labridae	Suezichthys	devisi	37384195		140
Labridae	Suezichthys	soelae	37384026		
Balistidae	Sufflamen	chrysopterum	37465079		300
Balistidae	Sufflamen	fraenatum	37465014		380
Lutjanidae	Symphorus	nematophorus	37346017		1000
Synodontidae	Synodus	dermatogenys	37118003		240
Synodontidae	Synodus	indicus	37118009		330
Synodontidae	Synodus	variegatus	37118023		400
Synodontidae	Synodus	sageneus	37118004		260
Apogonidae	Taeniamia	melasma	37327084		86
Scorpaenidae	Taenianotus	triacanthus	37287090		
Dasyatidae	Taeniura	lymma	37035009		350
Dasyatidae	Taeniurops	meyeni	37035017		3300
Terapontidae	Terapon	jarbua	37321002		360
Terapontidae	Terapon	theraps	37321003		300
Torpedinidae	Tetronarce	nobiliana	37028003		
Ostraciidae	Tetrosomus	reipublicae	37466008		300
Labridae	Thalassoma	amblycephalum	37384164		160
Labridae	Thalassoma	hardwicke	37384165		200
Labridae	Thalassoma	jansenii	37384166		200
Labridae	Thalassoma	lunare	37384167		450
Labridae	Thalassoma	lutescens	37384168		300
Labridae	Thalassoma	purpureum	37384169		460
Labridae	Thalassoma	quinquevittatum	37384170		170
Labridae	Thalassoma	septemfasciatum	37384171		310
Monacanthidae	Thamnaconus	modestoides	37465038		300
Scombridae	Thunnus	maccoyii	37441004		
Stomiidae	Thysanactis	dentex	37109036		
Tetraodontidae	Torquigener	pallimaculatus	37467009		180
Tetraodontidae	Torquigener	parcuspinus	37467029		
Tetraodontidae	Torquigener	pleurogramma	37467030		210
Tetraodontidae	Torquigener	vicinus	37467063		
Tetraodontidae	Torquigener	whitleyi	37467028		
Synodontidae	Trachinocephalus	trachinus	37118002		400
Carangidae	Trachinotus	baillonii	37337074		600
Carangidae	Trachinotus	blochii	37337075		1100
Carangidae	Trachinotus	botla	37337066		
Carangidae	Trachurus	novaezelandiae	37337003		500
Diodontidae	Tragulichthys	jaculiferus	37469004		300
Carcharhinidae	Triaenodon	obesus	37018038		2130
Trichiuridae	Trichiurus	lepturus	37440004		2340
Trichiuridae	Trichiurus	nickolensis	37440014		702
Trichonotidae	Trichonotus	setiger	37394001		220
Gobiidae	Trimma	emeryi	37428265		
Serranidae	Triso	dermopterus	37311165		680
Triacanthidae	Trixiphichthys	weberi	37464001		300
Urolophidae	Trygonoptera	ovalis	37038016		610
Belonidae	Tylosurus	crocodilus	37235005		1500
Belonidae	Tylosurus	gavialoides	37235002		750
Carangidae	Ulua	mentalis	37337048		1000
Mullidae	Upeneus	luzonius	37355009		
Mullidae	Upeneus	moluccensis	37355003		220
Mullidae	Upeneus	sundaicus	37355013		220
Mullidae	Upeneus	tragula	37355014		250
Mullidae	Upeneus	vittatus	37355031		280
Carangidae	Uraspis	secunda	37337059		500
Dasyatidae	Urogymnus	granulatus	37035019		
Urolophidae	Urolophus	westraliensis	37038009		
Mugilidae	Valamugil	buchanani	37381010		
Gobiidae	Valenciennea	longipinnis	37428282		180
Gobiidae	Valenciennea	muralis	37428283		160
Gobiidae	Valenciennea	sexguttata	37428285		140
Gobiidae	Valenciennea	strigata	37428286		180
Serranidae	Variola	albimarginata	37311026		650
Serranidae	Variola	louti	37311166		830
Lethrinidae	Wattsia	mossambica	37351027		550
Balistidae	Xanthichthys	auromarginatus	37465080		300
Balistidae	Xanthichthys	caeruleolineatus	37465087		350
Balistidae	Xanthichthys	lineopunctatus	37465016		300
Gobiidae	Yongeichthys	nebulosus	37428001		
Ephippidae	Zabidius	novemaculeatus	37362003		450
Zanclidae	Zanclus	cornutus	37437001		230
Acanthuridae	Zebrasoma	scopas	37437036		400
Acanthuridae	Zebrasoma	veliferum	37437037		
Zeidae	Zenopsis	nebulosa	37264003		
Labridae	Notolabrus	cinctus	GPF		30
Cheilodactylidae	Nemadactylus	macropterus	TAR		70
Sebastidae	Helicolenus	percoides	37287001		47
Hemerocoetidae	Hemerocoetes	monopterygius	OPA		28
Labridae	Notolabrus	celidotus	SPO		24
